全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
170003,CC0000000045,遊学館高等学校,ユウガクカンコウトウガッコウ,yugakukankotogakko,172014,,金沢市本多町２丁目２番３号,石川県,金沢市,本多町2丁目,2番3号,,36.55548772,136.661214,26,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000046,金沢市新竪町公民館,カナザワシシンタテマチコウミンカン,kanazawashishintatemachikominkan,172014,,金沢市鱗町62番地,石川県,金沢市,鱗町,62番地,,36.55589341,136.6569,24,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000047,いしかわ四高記念公園,イシカワシコウキネンコウエン,ishikawashikokinenkoen,172014,,金沢市広坂２丁目,石川県,金沢市,広阪2丁目,,,36.56313138,136.6555586,26,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000048,本多の森公園,ホンダノモリコウエン,hondanomorikoen,172014,,金沢市出羽町ほか,石川県,金沢市,出羽町ほか,,,36.558206,136.6621251,51,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000049,本多公園,ホンダコウエン,hondakoen,172014,,金沢市本多町３丁目51番地１ほか,石川県,金沢市,本多町3丁目,51番地1ほか,,36.55912933,136.6606886,33,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000050,金沢市立城南中学校,カナザワシリツジョウナンチュウガッコウ,kanazawashiritsujonanchugakko,172014,,金沢市城南１丁目24番１号,石川県,金沢市,城南1丁目,24番1号,,36.543669,136.674374,38,,172014,石川県,金沢市,,,,,,1,,1,1,,,,1,,,,,,
170003,CC0000000051,金沢市菊川町公民館,カナザワシキクガワマチコウミンカン,kanazawashikikugawamachikominkan,172014,,金沢市菊川２丁目３番３号,石川県,金沢市,菊川2丁目,3番3号,,36.55134757,136.6599542,25,,172014,石川県,金沢市,,,,,,1,,1,1,,,,1,,,,,,
170003,CC0000000052,旧材木町小学校体育館,キュウザイモクマチショウガッコウタイイクカン,kyuzaimokumachishogakkotaiikukan,172014,,金沢市材木町13番12号,石川県,金沢市,材木町,13番12号,,36.566764,136.668018,16.9,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000053,金沢市立杜の里小学校,カナザワシリツモリノサトショウガッコウ,kanazawashiritsumorinosatoshogakko,172014,,金沢市若松町３丁目282番地,石川県,金沢市,若松町3丁目,282番地,,36.5573615,136.6864222,32.1,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000054,金沢市材木公民館,カナザワシザイモクコウミンカン,kanazawashizaimokukominkan,172014,,金沢市材木町13番11号,石川県,金沢市,材木町,13番11号,,36.56692895,136.6675909,17,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000055,石川県青少年総合研修センター,イシカワケンセイショウネンソウゴウケンシュウセンター,ishikawakenseishonensogokenshusenta,172014,,金沢市常盤町212番地１,石川県,金沢市,常磐町,212番地1,,36.56553,136.676437,45,,172014,石川県,金沢市,,,,,1,,,1,1,,,,1,,,,,,
170003,CC0000000056,卯辰山公園,ウタツヤマコウエン,utatsuyamakoen,172014,,金沢市末広町、卯辰町、東御影町、豊国町、常盤町、観音町３丁目、鳴和町、子来町、東長江町及び鈴見町の各一部,石川県,金沢市,末広町、卯辰町、東御影町、豊国町、常盤町、観音町３丁目、鳴和町、子来町、東長江町及び鈴見町の各一部,,,36.56876506,136.6814519,141.2,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000057,郡家山公園,グンケヤマコウエン,gunkeyamakoen,172014,,金沢市鈴見町郡家山1000番地,石川県,金沢市,鈴見町群家山,1000番地,,36.5598273,136.6858606,48.8,,172014,石川県,金沢市,,,,,,,,1,1,,,,,,,,,,
170003,CC0000000058,常盤町緑地,トキワマチリョクチ,tokiwamachiryokuchi,172014,,金沢市東御影町163番地１ほか,石川県,金沢市,東御影町,163番地1ほか,,36.56806109,136.6739477,54,,172014,石川県,金沢市,,,,,,,,1,1,,,,,,,,,,
170003,CC0000000059,睦が丘公園,ボクガオカコウエン,bokugaokakoen,172014,,金沢市鈴見台４丁目174番地ほか,石川県,金沢市,鈴見台4丁目,174番地ほか,,36.56391002,136.6895542,112,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000060,鈴見しょうぶ公園,スズミショウブコウエン,suzumishobukoen,172014,,金沢市もりの里３丁目1000番地,石川県,金沢市,もりの里3丁目,1000番地,,36.55968836,136.6838625,29,,172014,石川県,金沢市,,,,,,,,1,1,,,,,,,,,,
170003,CC0000000061,鈴見児童公園,スズミジドウコウエン,suzumijidokoen,172014,,金沢市鈴見台２丁目356番地,石川県,金沢市,鈴見台2丁目,356番地,,36.56203703,136.6868565,70,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000062,鈴見台第２児童公園,スズミダイダイニジドウコウエン,suzumidaidainijidokoen,172014,,金沢市鈴見台４丁目43番地,石川県,金沢市,鈴見台4丁目,43番地,,36.56392254,136.6837875,71,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000063,金沢市立兼六小学校,カナザワシリツケンロクショウガッコウ,kanazawashiritsukenrokushogakko,172014,,金沢市兼六元町７番15号,石川県,金沢市,県六元町,7番15号,,36.56552732,136.66613,23,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000064,金沢市立兼六中学校,カナザワシリツケンロクチュウガッコウ,kanazawashiritsukenrokuchugakko,172014,,金沢市田井町12番12号,石川県,金沢市,田井町,12番12号,,36.5595,136.680178,23,,172014,石川県,金沢市,,,,,,1,,1,1,,,,1,,,,,,
170003,CC0000000065,金沢市立小将町中学校,カナザワシリツコショウマチチュウガッコウ,kanazawashiritsukoshomachichugakko,172014,,金沢市小将町１番15号,石川県,金沢市,小将町,1番15号,,36.564333,136.664874,28,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000066,金沢大学人間社会学域学校教育学類附属特別支援学校,カナザワダイガクニンゲンシャカイガクイキガッコウキョウイクガクルイフゾクトクベツシエンガッコウ,kanazawadaigakuningenshakaigakuikigakkokyoikugakuruifuzokutokubetsushiengakko,172014,,金沢市東兼六町２番10号,石川県,金沢市,東兼六町,2番10号,,36.56272893,136.6660535,28,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000067,金沢市味噌蔵町公民館,カナザワシミソクラマチコウミンカン,kanazawashimisokuramachikominkan,172014,,金沢市兼六元町７番19号,石川県,金沢市,兼六元町,7番19号,,36.56644534,136.6653046,20,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000068,金沢城公園,カナザワジョウコウエン,kanazawajokoen,172014,,金沢市丸の内１番１号ほか,石川県,金沢市,丸の内,1番1号ほか,,36.56775963,136.6597706,49,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000069,天神町緑地,テンジンマチリョクチ,tenjimmachiryokuchi,172014,,金沢市天神町２丁目617番地１ほか,石川県,金沢市,天神町2丁目,617番地1ほか,,36.56033246,136.6744657,23,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000070,田井町第１児童公園,タイマチダイイチジドウコウエン,taimachidaiichijidokoen,172014,,金沢市田井町273番地,石川県,金沢市,田井町,273番地,,36.56051664,136.6792105,23,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000071,天神しらうめ公園,テンジンシラウメコウエン,tenjinshiraumekoen,172014,,金沢市天神町１丁目586番地,石川県,金沢市,天神町1丁目,586番地,,36.55836305,136.6773957,28,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000072,金沢市立中央小学校,カナザワシリツチュウオウショウガッコウ,kanazawashiritsuchuoshogakko,172014,,金沢市長町１丁目10番35号,石川県,金沢市,長町1丁目,10番35号,,36.570021,136.650712,13,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000073,金沢市中央公民館長町館,カナザワシチュウオウコウミンカンチョウチョウカン,kanazawashichuokominkanchochokan,172014,,金沢市長町２丁目２番43号,石川県,金沢市,長町2丁目,2番43号,,36.56317135,136.650077,17,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000074,金沢市長町公民館,カナザワシチョウチョウコウミンカン,kanazawashichochokominkan,172014,,金沢市長町２丁目２番16号,石川県,金沢市,長町2丁目,2番16号,,36.56335101,136.6492396,17,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000075,長町緑地,ナガマチリョクチ,nagamachiryokuchi,172014,,金沢市長町２丁目２番43号,石川県,金沢市,長町2丁目,2番43号,,36.5627614,136.6499541,17,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000076,金沢市松ヶ枝公民館,カナザワシマツガエコウミンカン,kanazawashimatsugaekominkan,172014,,金沢市高岡町７番23号,石川県,金沢市,高岡町,7番23号,,36.56984623,136.6528536,16,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000077,近江町いちば館,オウミチョウイチバカン,omichoichibakan,172014,,金沢市青草町88番地,石川県,金沢市,青草町,88番地,,36.57151325,136.655908,19,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000078,金沢市文化ホール,カナザワシブンカホール,kanazawashibunkahoru,172014,,金沢市高岡町15番１号,石川県,金沢市,高岡町,15番1号,,36.56661689,136.652371,21,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000079,松ヶ枝緑地,マツダエリョクチ,matsudaeryokuchi,172014,,金沢市高岡町188番地２ほか,石川県,金沢市,高岡町,188番地2ほか,,36.56962748,136.6527016,17,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000080,金沢市長土塀公民館,カナザワシナガドヘコウミンカン,kanazawashinagadohekominkan,172014,,金沢市長町３丁目３番３号,石川県,金沢市,長町3丁目,3番3号,,36.56720591,136.6453501,14,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000081,金沢市長土塀青少年交流センター,カナザワシナガドヘセイショウネンコウリュウセンター,kanazawashinagadoheseishonenkoryusenta,172014,,金沢市長町３丁目３番３号,石川県,金沢市,長町3丁目,3番3号,,36.56704004,136.6453662,14,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000082,大和町防災拠点広場,ダイワマチボウサイキョテンヒロバ,daiwamachibosaikyotenhiroba,172014,,金沢市大和町１番１号,石川県,金沢市,大和町,1番1号,,36.56934947,136.6393514,40,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000083,金沢市営中央市民体育館,カナザワシエイチュウオウシミンタイイクカン,kanazawashieichuoshimintaiikukan,172014,,金沢市長町３丁目３番３号,石川県,金沢市,長町3丁目,3番3号,,36.56651068,136.6455649,14,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000084,穴水町児童公園,アナミズマチジドウコウエン,anamizumachijidokoen,172014,,金沢市長土塀１丁目151番地ほか,石川県,金沢市,長土塀1丁目,151番地ほか,,36.568975,136.648137,13,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000085,神保緑地,ジンボウリョクチ,jimboryokuchi,172014,,金沢市三社町373番地11,石川県,金沢市,三社町,373番地11,,36.5699537,136.642311,12,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000086,デイサービスセンター玉川苑,デイサービスセンタータマガワエン,deisabisusentatamagawaen,172014,,金沢市芳斉２丁目３番28号,石川県,金沢市,芳斉2丁目,3番28号,,36.57199978,136.6499908,12.1,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000087,金沢市芳斎公民館,カナザワシホウサイコウミンカン,kanazawashihosaikominkan,172014,,金沢市芳斉２丁目３番29号,石川県,金沢市,芳斉2丁目,3番29号,,36.571991,136.649815,12.1,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000088,金沢市女性センター,カナザワシジョセイセンター,kanazawashijoseisenta,172014,,金沢市三社町１番44号,石川県,金沢市,三社町,1番44号,,36.57050711,136.6455484,11.7,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000089,玉川公園,タマガワコウエン,tamagawakoen,172014,,金沢市玉川町11番３号,石川県,金沢市,玉川町,11番3号,,36.56907574,136.6508313,13.7,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000090,金沢市此花町公民館,カアンザワシコノハナチョウコウミンカン,kaanzawashikonohanachokominkan,172014,,金沢市此花町２番７号,石川県,金沢市,此花町,2番7号,,36.57717463,136.6519152,9.8,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000091,此花町緑地,コノハナチョウリョクチ,konohanachoryokuchi,172014,,金沢市此花町149番地１,石川県,金沢市,此花町,149番地1,,36.57736937,136.6522762,9.8,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
